x,y,row,col,name,index,mapped_row,mapped_col
-41.35637283325195,63.902381896972656,199,96,281_FIMBULGETLSCHER,209,200,100
-40.79563522338867,63.862545013427734,199,98,283_SE_NONAME2,210,200,100
-41.75114822387695,63.875911712646484,199,95,284_AP_BERNSTOFF_GLETSCHER,211,197,98
-41.8178596496582,63.852943420410156,199,95,286_AP_BERNSTOFF_GLETSCHER,212,197,98
-40.717918395996094,63.75613021850586,198,98,289_SE_NONAME2,213,200,100
-40.880313873291016,63.73501205444336,198,98,290_SE_NONAME2,214,200,100
-41.66252899169922,63.671451568603516,198,95,293_MAELKEVEJEN,215,197,98
-41.87196731567383,63.54494094848633,197,94,294_SKINFAXE,216,197,98
-41.8934326171875,63.27161407470703,195,94,296_SKINFAXE,217,194,96
-42.25083923339844,63.24301528930664,195,93,297_RIMFAXE,218,194,96
-42.663692474365234,62.892127990722656,193,91,298_HEIMDAL_GLETSCHER,219,193,94
-43.3109245300293,62.78702926635742,192,88,299_TINGMIARMIUT_FJORD,220,193,94
-43.313507080078125,62.74683380126953,192,88,300_TINGMIARMIUT_FJORD,221,193,94
-43.202232360839844,62.645606994628906,191,89,301_MOGENS_HEINESEN_N,222,193,94
-43.149845123291016,62.58015823364258,191,89,302_MOGENS_HEINESEN_N,223,193,94
-43.15229034423828,62.49106979370117,190,89,303_MOGENS_HEINESEN_C,224,188,93
-43.05161666870117,62.37073516845703,189,89,304_MOGENS_HEINESEN_S,225,188,93
-42.79658126831055,62.36294937133789,189,90,305_MOGENS_HEINESEN_SS_SSS,226,188,93
-48.94490432739258,62.23027038574219,192,69,306_AVANNARLEQ-NIGERLIKASIK,227,191,68
-42.57996368408203,62.26456832885742,188,90,308_MOGENS_HEINESEN_SS_SSS,228,188,93
-48.73447036743164,62.091800689697266,190,69,309_AVANNARLEQ-NIGERLIKASIK,229,191,68
-42.672088623046875,62.06736755371094,187,90,310_PUISORTOQ_N,230,188,93
-48.65730285644531,61.9631462097168,189,69,311_UKAASORSUAQ,231,190,68
-42.666839599609375,61.913780212402344,186,90,312_PUISORTOQ_S,232,186,92
-42.610713958740234,61.87956237792969,186,90,313_PUISORTOQ_S,233,186,92
-42.84492492675781,61.85954666137695,186,89,314_NAPASORSUAQ_N,234,186,92
-42.906429290771484,61.827510833740234,186,89,316_NAPASORSUAQ_N,235,186,92
-42.96709442138672,61.70658874511719,185,89,317_NAPASORSUAQ_C_S,236,186,92
-42.74243927001953,61.6729850769043,184,89,318_NAPASORSUAQ_C_S,237,184,91
-42.70103454589844,61.64259338378906,184,89,319_NAPASORSUAQ_C_S,238,184,91
-43.136741638183594,61.639678955078125,184,88,320_ANORITUUP_KANGERLUA,239,184,91
-48.2357063293457,61.60187530517578,187,70,321_SERMILIGAARSSUK_BRAE,240,187,68
-42.9840202331543,61.62677001953125,184,88,322_ANORITUUP_KANGERLUA,241,184,91
-43.17817687988281,61.56719970703125,184,88,323_ANORITUUP_KANGERLUA,242,184,91
-43.05967712402344,61.48876953125,183,88,325_UNNAMED_ANORITUUP_KANGERLUA_S,243,184,91
-42.758262634277344,61.436527252197266,183,89,326_UNNAMED_ANORITUUP_KANGERLUA_SS,244,184,91
-42.74561309814453,61.41366958618164,183,89,327_UNNAMED_ANORITUUP_KANGERLUA_SS,245,184,91
-42.976776123046875,61.379539489746094,182,88,328_UNNAMED_ANORITUUP_KANGERLUA_SS,246,181,90
-45.765804290771484,61.35771560668945,183,78,329_QAJUUTTAP_SERMIA,247,182,77
-43.35667419433594,61.32973098754883,182,87,330_UNNAMED_HERLUF_TROLLE_N,248,181,90
-46.090396881103516,61.3273811340332,183,77,331_EQALORUTSIT_KILLIIT_SERMIAT,249,182,77
-46.229736328125,61.28952407836914,183,77,332_EQALORUTSIT_KILLIIT_SERMIAT,250,182,77
-45.14979553222656,61.23323440551758,182,80,334_KIATTUUT-QOOQQUP,251,182,77
-43.313419342041016,61.209197998046875,181,87,335_UNNAMED_HERLUF_TROLLE_S,252,181,90
-43.932281494140625,61.12952423095703,181,85,336_UNNAMED_KANGERLULUK,253,181,90
-46.5926399230957,61.06978988647461,182,75,337_NAAJAT_SERMIAT,254,182,77
-46.92139434814453,61.05622100830078,182,74,338_SERMILIK,255,181,75
-43.44099044799805,61.05461120605469,180,86,339_HERLUF_TROLLE-KANGERLULUK-DANELL,256,179,89
-43.67420959472656,61.04530334472656,180,85,340_UNNAMED_KANGERLULUK,257,179,89
-43.649166107177734,61.045021057128906,180,85,341_UNNAMED_KANGERLULUK,258,179,89
-43.56153869628906,60.93983459472656,180,86,343_UNNAMED_DANELL_FJORD,259,179,89
-43.69117736816406,60.837249755859375,179,85,344_UNNAMED_SOUTH_DANELL_FJORD,260,179,89
-43.87946701049805,60.7490234375,178,84,346_SOUTHERN_TIP,261,177,88
-43.36410140991211,60.71867752075195,178,86,347_SOUTHERN_TIP,262,179,89
-43.8909797668457,60.72659683227539,178,84,348_SOUTHERN_TIP,263,177,88
-43.85736846923828,60.68293380737305,178,84,349_SOUTHERN_TIP,264,177,88
-43.507568359375,60.682456970214844,178,86,350_SOUTHERN_TIP,265,179,89
-44.21786117553711,60.67897415161133,178,83,351_SOUTHERN_TIP,266,178,81
